출발_동,도착_동,label,score
가산동,북성동,1,0.135581675
가산동,불광동,,0.443512526
가산동,사근동,,0.260338967
가산동,사당동,1,1
가산동,사직동,,0.9711909
가산동,삼선동,,0.998601375
가산동,삼성동,,0.999999978
가산동,삼양동,1,0.640906963
가산동,상계동,,1
가산동,상도동,1,1
가산동,상봉동,,0.999991102
가산동,상암동,,0.999704507
가산동,상일동,,0.503433635
가산동,서강동,,0.862415273
가산동,서교동,1,1
가산동,서림동,,0.999677571
가산동,서빙고동,,0.131888355
가산동,서원동,1,1
가산동,서초동,,1
가산동,석관동,,0.972312455
가산동,석촌동,,0.688436974
가산동,성내동,,0.99999775
가산동,성산동,,0.989771933
가산동,성수동,,0.99993104
가산동,소공동,,0.999999999
가산동,송천동,,0.996962867
가산동,송파동,,0.905822175
가산동,수궁동,1,1
가산동,수색동,1,0.13933489
가산동,수서동,,0.986784804
가산동,수유동,,0.360869764
가산동,숭인동,,0.994947417
가산동,시흥동,1,1
가산동,신길동,1,1
가산동,신내동,,0.506295997
가산동,신당동,,0.921314207
가산동,신대방동,,0.999999521
가산동,신도림동,,1
가산동,신림동,,0.992582419
가산동,신사동,1,1
가산동,신월동,1,1
가산동,신정동,,1
가산동,신촌동,,0.999999267
가산동,신포동,0,0.0969398635
가산동,아현동,,0.981324845
가산동,안암동,,0.38066603
가산동,암사동,,0.818519559
가산동,압구정동,,0.998765033
가산동,약수동,,0.876008915
가산동,양재동,,0.999994827
가산동,양평동,,0.886157276
가산동,여의도동,,0.999999998
가산동,역삼동,1,0.99999986
가산동,역촌동,,0.137268319
가산동,영등포동,,1
가산동,영종동,,0.202839639
가산동,오금동,,0.713372075
가산동,오류동,1,1
가산동,오륜동,,0.813973563
가산동,옥수동,,0.553631507
가산동,왕십리동,,0.756552259
가산동,용강동,,0.997980033
가산동,용답동,,0.998560979
가산동,용산동,,0.143726543
가산동,용신동,,0.999997818
가산동,우이동,,0.342191974
가산동,우장산동,,0.996974508
가산동,운서동,,0.314379815
가산동,원효로동,,0.161248534
가산동,월계동,,0.726810656
가산동,월곡동,,0.881533305
가산동,은천동,0,0.0958747504
가산동,을지로동,,0.922910565
가산동,응봉동,,0.14235048
가산동,응암동,,0.115787489
가산동,이문동,,0.787908368
가산동,이촌동,,0.123291984
가산동,이태원동,,0.304639844
가산동,이화동,,0.976636116
가산동,인헌동,,0.999997566
가산동,일원동,,0.406921371
가산동,자양동,,0.99892549
가산동,잠실동,1,1
가산동,잠원동,,0.190845109
가산동,장위동,,0.368098557
가산동,장지동,,0.412895155
가산동,장충동,,0.33420215
가산동,전농동,,0.999984235
가산동,정릉동,,0.67877382
가산동,제기동,,0.490356545
가산동,조원동,1,1
가산동,종로동,1,1
가산동,중계동,,0.984325133
가산동,중곡동,,0.989735632
가산동,중앙동,,0.0990686775
가산동,중화동,,0.985283352
가산동,증산동,,0.973597733
가산동,진관동,,0.945203577
가산동,창동,,0.999994321
가산동,창신동,,0.150170806
가산동,천연동,,0.244207247
가산동,천호동,1,0.621995379
가산동,청담동,0,0.0962125036
가산동,청룡동,1,1
가산동,청파동,0,0.102190274
가산동,충현동,,0.996010567
가산동,필동,,0.898390056
가산동,하계동,,0.997499254
가산동,한강로동,1,1
가산동,한남동,,0.300187609
가산동,합정동,,0.250948244
가산동,행당동,,0.993247973
가산동,행운동,0,0.0954372561
가산동,홍제동,,0.959193493
가산동,화곡동,1,1
가산동,화양동,,0.999999988
가산동,회현동,1,1
가산동,효창동,,0.256680892
가산동,휘경동,,0.957627533
가산동,흑석동,,0.346307849
가양동,가락동,,0.960864684
가양동,가산동,,0.999994744
가양동,가양동,1,1
가양동,갈현동,,0.996268626
가양동,개봉동,,0.926217108
가양동,개포동,,0.787292188
가양동,거여동,,0.414692388
가양동,고척동,,0.124615636
가양동,공덕동,,0.999999998
가양동,공릉동,,0.771643665
가양동,공항동,1,1
가양동,광장동,,0.413004012
가양동,광희동,,0.985455157
가양동,교남동,0,0.0952582883
가양동,구로동,1,1
가양동,구의동,,0.993886049
가양동,금호동,1,0.641320238
가양동,길동,,0.152767869
가양동,길음동,1,0.622153732
가양동,남가좌동,,0.197092953
가양동,남영동,,0.909523085
가양동,남현동,,0.999994295
가양동,내곡동,,0.205342252
가양동,노량진동,1,1
가양동,녹번동,,0.757584581
가양동,논현동,,0.999999626
가양동,능동,,0.980871024
가양동,당산동,1,1
가양동,대림동,,0.999999914
가양동,대방동,1,0.632131538
가양동,대조동,,0.916702982
가양동,대치동,,0.999995433
가양동,대학동,,0.27253661
가양동,대흥동,,0.99933513
가양동,도곡동,,0.995404317
가양동,도림동,0,0.095908478
가양동,도봉동,,0.280169261
가양동,독산동,,0.924392212
가양동,동화동,,0.408547936
가양동,둔촌동,,0.998730497
가양동,등촌동,1,1
가양동,마장동,,0.438744156
가양동,마천동,,0.287654948
가양동,망우동,1,0.136183687
가양동,망원동,,0.872470703
가양동,면목동,,0.872304326
가양동,명동,,0.999999983
가양동,명일동,,0.408005523
가양동,목동,1,1
가양동,묵동,,0.182293874
가양동,문래동,,0.999968123
가양동,문정동,,0.90950981
가양동,미아동,,0.266130146
가양동,반포동,1,1
가양동,발산동,1,1
가양동,방배동,,0.97827362
가양동,방이동,,0.676616028
가양동,방학동,,0.148857514
가양동,방화동,1,1
가양동,번동,,0.768982134
가양동,보라매동,,0.317533938
가양동,보문동,,0.203384745
가양동,북성동,,0.106857044
가양동,불광동,,0.233795414
가양동,사근동,,0.443338151
가양동,사당동,,0.99994555
가양동,사직동,,1
가양동,삼선동,,0.907607249
가양동,삼성동,1,1
가양동,삼양동,,0.171317015
가양동,상계동,,0.964507347
가양동,상도동,,0.274368316
가양동,상봉동,,0.526068087
가양동,상암동,1,1
가양동,상일동,,0.169824098
가양동,서강동,,0.871828394
가양동,서교동,1,1
가양동,서림동,,0.718440682
가양동,서빙고동,,0.147356137
가양동,서원동,,0.999999548
가양동,서초동,,1
가양동,석관동,,0.405513328
가양동,석촌동,,0.660146504
가양동,성내동,,0.994453027
가양동,성산동,,0.991516511
가양동,성수동,,0.999969876
가양동,소공동,,0.999942943
가양동,송천동,,0.669501781
가양동,송파동,,0.997181673
가양동,수궁동,,0.393478986
가양동,수색동,,0.121078589
가양동,수서동,,0.750380044
가양동,수유동,,0.142762141
가양동,숭인동,,0.604070177
가양동,시흥동,,0.739762503
가양동,신길동,,0.999999045
가양동,신내동,,0.242085075
가양동,신당동,,0.772512877
가양동,신대방동,,0.826419197
가양동,신도림동,1,1
가양동,신림동,,0.121102484
가양동,신사동,,1
가양동,신월동,,0.999786286
가양동,신정동,1,1
가양동,신촌동,,0.999999816
가양동,신포동,0,0.0958058347
가양동,아현동,,0.987073521
가양동,안암동,,0.418676098
가양동,암사동,,0.501581387
가양동,압구정동,,0.999913255
가양동,약수동,,0.502311068
가양동,양재동,,0.999993347
가양동,양평동,,1
가양동,여의도동,1,1
가양동,역삼동,1,1
가양동,연희동,,0.735157676
가양동,염창동,,0.99999984
가양동,영등포동,,1
가양동,영종동,,0.617020617
가양동,오금동,,0.168971154
가양동,오류동,,0.9179814
가양동,오륜동,,0.987588272
가양동,옥수동,,0.224047207
가양동,왕십리동,,0.482952771
가양동,용강동,,0.999535223
가양동,용답동,,0.994390757
가양동,용산동,,0.352626393
가양동,용신동,,0.918868603
가양동,우이동,,0.202658179
가양동,우장산동,1,1
가양동,운서동,,0.99999996
가양동,월계동,,0.321732936
가양동,월곡동,,0.430523894
가양동,을지로동,,0.999988608
가양동,응봉동,,0.119250833
가양동,이문동,,0.506352118
가양동,이촌동,0,0.0977570177
가양동,이태원동,,0.718395263
가양동,이화동,,0.983514462
가양동,인헌동,,0.959430111
가양동,일원동,,0.40119072
가양동,자양동,,0.314041154
가양동,잠실동,1,1
가양동,잠원동,,0.177589508
가양동,장위동,,0.224594142
가양동,장지동,,0.513141189
가양동,장충동,,0.366168395
가양동,전농동,,0.899478659
가양동,정릉동,,0.190914462
가양동,제기동,,0.312957684
가양동,종로동,,1
가양동,중계동,,0.189634563
가양동,중곡동,,0.265122814
가양동,중화동,,0.299339303
가양동,증산동,,0.88867779
가양동,진관동,,0.57098083
가양동,창동,,0.954769822
가양동,창신동,,0.144745356
가양동,천연동,,0.161756703
가양동,천호동,,0.220206658
가양동,청룡동,,0.999996006
가양동,충현동,,0.999999946
가양동,필동,,0.83229707
가양동,하계동,,0.196666943
가양동,한강로동,,1
