     순위     출발_동     도착_동      score
      1     신대방동      신길동   1.000000
      1     신도림동     여의도동   1.000000
      1     신도림동      오류동   1.000000
      1     신도림동     을지로동   1.000000
      1      신림동      난곡동   1.000000
      1      신사동      가산동   1.000000
      1      신사동      대흥동   1.000000
      1      신사동      방화동   1.000000
      1      신사동      신촌동   1.000000
      1      신사동      양재동   1.000000
      1      신사동     영등포동   1.000000
      1      신정동      가양동   1.000000
      1      신정동      대치동   1.000000
      1      신정동      방화동   1.000000
      1      신정동      사직동   1.000000
      1      신정동      수궁동   1.000000
      1      신정동      회현동   1.000000
      1      신촌동      구의동   1.000000
      1      신촌동      상암동   1.000000
      1      신촌동      서원동   1.000000
      1      신촌동      아현동   1.000000
      1      신촌동     여의도동   1.000000
      1      신촌동      청룡동   1.000000
      1      신촌동      화곡동   1.000000
      1      아현동      사직동   1.000000
      1      아현동      소공동   1.000000
      1      아현동      신촌동   1.000000
      1      아현동      충현동   1.000000
      1      안암동      종로동   1.000000
      1      암사동      역삼동   1.000000
      1     압구정동      갈현동   1.000000
      1     압구정동      대치동   1.000000
      1     압구정동       명동   1.000000
      1     압구정동      사직동   1.000000
      1     압구정동      서원동   1.000000
      1     압구정동      약수동   1.000000
      1     압구정동      회현동   1.000000
      1      약수동      서초동   1.000000
      1      약수동      약수동   1.000000
      1      양재동      사당동   1.000000
      1      양재동      서원동   1.000000
      1      양평동      서교동   1.000000
      1      양평동      합정동   1.000000
      1     여의도동      논현동   1.000000
      1     여의도동      대림동   1.000000
      1     여의도동      대방동   1.000000
      1     여의도동      대치동   1.000000
      1     여의도동      독산동   1.000000
      1     여의도동      발산동   1.000000
      1     여의도동      상계동   1.000000
      1     여의도동      서원동   1.000000
      1     여의도동      성내동   1.000000
      1     여의도동      신촌동   1.000000
      1     여의도동      청룡동   1.000000
      1     여의도동      행당동   1.000000
      1     여의도동      흑석동   1.000000
      1      역삼동      가락동   1.000000
      1      역삼동      행당동   1.000000
      1      연남동      연희동   1.000000
      1     영등포동      사직동   1.000000
      1     영등포동      상도동   1.000000
      1     영등포동      서원동   1.000000
      1     영등포동      신사동   1.000000
      1      오금동      서초동   1.000000
      1      오금동      성내동   1.000000
      1      오금동      수서동   1.000000
      1      오금동      양재동   1.000000
      1      오류동      종로동   1.000000
      1      오륜동      가락동   1.000000
      1      오륜동      둔촌동   1.000000
      1      옥수동     압구정동   1.000000
      1     왕십리동       명동   1.000000
      1      용강동       목동   1.000000
      1      용강동      사직동   1.000000
      1      용강동     영등포동   1.000000
      1      용강동      용강동   1.000000
      1      용답동      구의동   1.000000
      1      용답동       명동   1.000000
      1      용답동      서초동   1.000000
      1      용답동      회현동   1.000000
      1      용신동      상계동   1.000000
      1      용신동      상봉동   1.000000
      1      용신동      석관동   1.000000
      1      용신동      소공동   1.000000
      1      용신동      잠실동   1.000000
      1      용신동      종암동   1.000000
      1     우장산동      공항동   1.000000
      1     우장산동     여의도동   1.000000
      1      운서동      서교동   1.000000
      1     원효로동      청파동   1.000000
      1     을지로동      광희동   1.000000
      1     을지로동      대치동   1.000000
      1     을지로동      대흥동   1.000000
      1     을지로동      성내동   1.000000
      1     을지로동     신도림동   1.000000
      1     을지로동     왕십리동   1.000000
      1     을지로동      용답동   1.000000
      1     을지로동      홍제동   1.000000
      1     을지로동      화곡동   1.000000
      1      응암동     남가좌동   1.000000
      1      이문동      회현동   1.000000
      1     이태원동      종로동   1.000000
      1      이화동      서교동   1.000000
      1      인헌동      방배동   1.000000
      1      일원동      반포동   1.000000
      1      일원동      양재동   1.000000
      1      잠실동      공릉동   1.000000
      1      잠실동     노량진동   1.000000
      1      잠실동      대흥동   1.000000
      1      잠실동      명일동   1.000000
      1      잠실동      상봉동   1.000000
      1      잠실동      오금동   1.000000
      1      잠실동      위례동   1.000000
      1      잠실동      중곡동   1.000000
      1      잠실동       창동   1.000000
      1      잠실동      충현동   1.000000
      1      잠원동      잠원동   1.000000
      1      장위동      종로동   1.000000
      1      장충동      종로동   1.000000
      1      전농동      상계동   1.000000
      1      정릉동      불광동   1.000000
      1      정릉동      삼선동   1.000000
      1      제기동      송중동   1.000000
      1      종로동      가락동   1.000000
      1      종로동      공덕동   1.000000
      1      종로동      도곡동   1.000000
      1      종로동      등촌동   1.000000
      1      종로동      미아동   1.000000
      1      종로동      방화동   1.000000
      1      종로동      삼양동   1.000000
      1      종로동      상봉동   1.000000
      1      종로동      수유동   1.000000
      1      종로동      시흥동   1.000000
      1      종로동      오류동   1.000000
      1      종로동      용강동   1.000000
      1      종로동      천연동   1.000000
      1      종로동      청룡동   1.000000
      1      종로동      한남동   1.000000
      1      중계동      면목동   1.000000
