출발_동,도착_동,지하철_승객수,버스_승객수,택시_승객수,클러스터,label,score
고척동,흑석동,0,32,22844.71978,63,0.0,0.09550444648438727
공덕동,가락동,30748,0,23161.86349,8,,0.9905403295829032
공덕동,가산동,39716,0,23254.59098,4,,0.9987265052454706
공덕동,가양동,94487,0,23820.91316,68,,0.9999999941798969
공덕동,갈현동,176012,0,24663.86684,73,1.0,1.0
공덕동,개봉동,21987,765,23090.0433,13,,0.9417715496290505
공덕동,개포동,13419,341,22991.05018,20,,0.6909812962393524
공덕동,거여동,17502,0,23024.90226,17,,0.8425347062708735
공덕동,고척동,0,543,22857.25562,58,0.0,0.10138407588061124
공덕동,공덕동,134585,1086394,50886.89708,79,1.0,1.0
공덕동,공릉동,102473,0,23903.48695,68,,0.9999999990312083
공덕동,공항동,21666,0,23067.95726,14,,0.9316371982540541
공덕동,광장동,29681,0,23150.83091,9,,0.9880103486858252
공덕동,광희동,57775,14632,23800.26945,1,,0.999996684075539
공덕동,교남동,0,3,22844.00836,66,0.0,0.09518008436931341
공덕동,구로동,95259,334,23837.08918,68,,0.9999999953135481
공덕동,구의동,64671,0,23512.62114,11,,0.9999952985460282
공덕동,금호동,32048,1787,23219.14387,6,,0.9943746047700714
공덕동,길동,12937,0,22977.70099,21,,0.6575222858835623
공덕동,길음동,24797,9272,23327.7916,6,,0.9892011040289549
공덕동,남가좌동,40543,30301,24006.48503,0,,0.9999791833151723
공덕동,남영동,26506,7724,23307.48687,5,,0.9909904523216081
공덕동,남현동,98499,0,23862.39651,68,,0.9999999976355622
공덕동,내곡동,3369,11,22879.03946,42,,0.18324471312424676
공덕동,노량진동,69644,0,23564.04106,15,,0.9999984606923125
공덕동,녹번동,63289,0,23498.33152,11,,0.999993588085309
공덕동,논현동,72651,3006,23668.87598,16,,0.9999994693269855
공덕동,능동,58775,0,23451.65758,8,,0.9999823341425299
공덕동,당산동,130839,1401,24231.15552,71,,0.9999999999986151
공덕동,대림동,33717,0,23192.56241,7,,0.9951204727150279
공덕동,대방동,6295,0,22909.02392,34,,0.3017463948965184
공덕동,대조동,78664,0,23657.30622,25,,0.9999997968567784
공덕동,대치동,61102,5104,23600.92947,6,,0.9999945950505859
공덕동,대학동,4366,0,22889.07841,39,,0.2188986306870894
공덕동,대흥동,108148,163289,27967.9652,72,1.0,1.0
공덕동,도곡동,36188,345,23226.57563,5,,0.9973148904502078
공덕동,도봉동,17550,3284,23105.96154,15,,0.8922416474759369
공덕동,도화동,0,140124,26281.45161,70,1.0,0.9999998779082993
공덕동,독산동,20121,0,23051.98224,15,,0.9059561635515505
공덕동,돈암동,0,4781,22961.22208,46,,0.16350609992866086
공덕동,동선동,0,9383,23074.11817,40,,0.26200068412056426
공덕동,동화동,26636,87,23121.48044,10,,0.9767804014137483
공덕동,둔촌동,19066,0,23041.07374,15,,0.8837427286454205
공덕동,등촌동,57575,2791,23507.7185,6,,0.9999838949619159
공덕동,마장동,19120,188,23046.24409,15,,0.887440927320477
공덕동,마천동,11259,0,22960.35077,24,,0.5684490420789536
공덕동,망우동,11052,3036,23032.68947,21,,0.6508435892933344
공덕동,면목동,28963,140,23146.84139,9,,0.9861919339673628
공덕동,명동,155087,67787,26110.45435,72,1.0,1.0
공덕동,명일동,29867,0,23152.75411,9,,0.9884950944350259
공덕동,목동,341546,0,26375.45831,76,1.0,1.0
공덕동,묵동,8481,0,22931.62676,29,,0.4138207154304112
공덕동,문래동,18995,929,23063.1298,15,,0.8940589843816501
공덕동,문정동,16330,0,23012.78399,17,,0.8044073061252102
공덕동,미아동,15327,2999,23075.98451,17,,0.8288895948341398
공덕동,반포동,80520,15286,24051.49252,19,,0.9999999815519355
공덕동,발산동,53463,0,23396.73246,6,,0.9999417788872841
공덕동,방배동,21310,0,23064.27629,14,,0.9263675463131764
공덕동,방이동,15975,0,23009.11336,18,,0.791561976564827
공덕동,방학동,5691,2020,22952.33323,33,,0.32901163316116705
공덕동,방화동,212868,0,25044.95118,74,,1.0
공덕동,번동,31744,6665,23335.66749,2,,0.996792760945778
공덕동,보라매동,3861,0,22883.8568,41,,0.2001304546767206
공덕동,보문동,40668,0,23264.43449,4,,0.9989713305723906
공덕동,부암동,0,980,22867.97609,56,0.0,0.10666478058740737
공덕동,북가좌동,0,988,22868.17234,56,0.0,0.10676367359694973
공덕동,북성동,583,0,22849.96288,55,,0.10702858849885262
공덕동,북아현동,0,90049,25053.01354,48,1.0,0.999919318612429
공덕동,불광동,22554,0,23077.13902,13,,0.9432935273769006
공덕동,사근동,9761,0,22944.86173,27,,0.4848031400747438
공덕동,사당동,82206,0,23693.92986,32,,0.9999999082875173
공덕동,사직동,348007,239738,32323.50772,77,1.0,1.0
공덕동,삼선동,35947,8790,23431.25616,1,,0.9990502456900439
공덕동,삼성동,73633,2712,23671.81728,17,,0.9999995577870032
공덕동,삼양동,20531,0,23056.22157,14,,0.9135114166064233
공덕동,상계동,93100,0,23806.57184,68,,0.9999999920535255
공덕동,상도동,7999,0,22926.64297,30,,0.387837361389869
공덕동,상봉동,25082,6144,23254.00246,8,,0.9848697420322069
공덕동,상암동,211429,2799,25098.73715,74,,1.0
공덕동,상일동,12180,0,22969.87375,23,,0.6182931477912139
공덕동,서강동,249660,17,25425.79082,75,1.0,1.0
공덕동,서교동,708527,59735,31635.39197,79,1.0,1.0
